freq,currency,nace_r2,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,MIO_EUR,A,AT	: 	: 	: 	: 	: 	1712 	1679 	1695 	1639 	1675 	1784 	1694 	1970 	2241 	2249 	2206 	2344 	2446 	2364 	2038 	2048 	1889 	2175 	2303 	2311 	: 
A,MIO_EUR,A,AT1	: 	: 	: 	: 	: 	576 	546 	538 	546 	564 	599 	561 	604 	730 	765 	707 	768 	791 	740 	664 	692 	571 	751 	731 	874 	: 
A,MIO_EUR,A,AT11	: 	: 	: 	: 	: 	86 	82 	86 	81 	88 	84 	85 	87 	86 	98 	94 	102 	117 	87 	81 	82 	76 	80 	80 	95 	: 
A,MIO_EUR,A,AT12	: 	: 	: 	: 	: 	484 	458 	447 	460 	471 	511 	471 	511 	636 	659 	604 	659 	665 	646 	576 	604 	488 	664 	644 	771 	: 
A,MIO_EUR,A,AT13	: 	: 	: 	: 	: 	6 	6 	5 	5 	5 	5 	5 	6 	8 	7 	8 	7 	8 	7 	8 	6 	6 	8 	8 	8 	: 
A,MIO_EUR,A,AT2	: 	: 	: 	: 	: 	423 	457 	470 	443 	442 	464 	469 	510 	559 	603 	639 	657 	604 	639 	555 	543 	512 	516 	561 	544 	: 
A,MIO_EUR,A,AT21	: 	: 	: 	: 	: 	130 	125 	137 	126 	130 	139 	152 	165 	173 	191 	169 	185 	159 	202 	137 	157 	141 	134 	159 	125 	: 
A,MIO_EUR,A,AT22	: 	: 	: 	: 	: 	292 	332 	333 	317 	311 	325 	317 	345 	386 	412 	471 	472 	445 	437 	418 	386 	371 	381 	402 	419 	: 
A,MIO_EUR,A,AT3	: 	: 	: 	: 	: 	714 	676 	687 	651 	670 	720 	664 	855 	952 	881 	860 	919 	1052 	985 	819 	813 	806 	908 	1011 	893 	: 
A,MIO_EUR,A,AT31	: 	: 	: 	: 	: 	406 	393 	355 	348 	356 	396 	390 	502 	557 	527 	507 	574 	630 	586 	481 	483 	450 	554 	510 	485 	: 
A,MIO_EUR,A,AT32	: 	: 	: 	: 	: 	98 	76 	115 	84 	137 	108 	106 	101 	132 	121 	143 	124 	141 	112 	128 	137 	150 	131 	160 	119 	: 
A,MIO_EUR,A,AT33	: 	: 	: 	: 	: 	158 	169 	145 	155 	140 	153 	118 	153 	183 	173 	166 	165 	224 	196 	170 	154 	152 	175 	272 	212 	: 
A,MIO_EUR,A,AT34	: 	: 	: 	: 	: 	51 	38 	72 	64 	37 	63 	50 	99 	80 	60 	44 	56 	56 	91 	40 	39 	54 	48 	69 	75 	: 
A,MIO_EUR,A,ATZ	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,MIO_EUR,A,ATZZ	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,MIO_EUR,A,BE	: 	: 	: 	: 	: 	463.1 	459.6 	514.8 	443.4 	500.8 	565.8 	684 	824.9 	967.6 	1025.4 	961.2 	1156.9 	1188.5 	1141.6 	1134 	1160.6 	1156 	1233 	1406.2 	1620.3 	: 
A,MIO_EUR,A,BE1	: 	: 	: 	: 	: 	: 	: 	: 	1.2 	3.1 	3.9 	3.8 	10.2 	8 	5.4 	1.7 	11 	4.9 	8.6 	5.6 	5.6 	11.9 	6.2 	3 	13.7 	: 
